Brand Name,SPOC LinkedIn URL 1,SPOC LinkedIn URL 2,B2B Mobile Source 1,B2B Mobile Source 2
Abbott (FreeStyle Libre),,,,
Accu-Chek,,,,
Apollo Neuroscience,,,https://mythopedia.com/topics/apollo/,https://airandspace.si.edu/explore/topics/spaceflight/apollo-program
Arjo,,,,
Beurer India,,,,
BTL Physiotherapy,,,,
CarePredict,,,,
Chattanooga,,,,
ChiliSleep,,,https://www.cdc.gov/covid/index.html,https://www.cdc.gov/covid/about/index.html
Chirp,,,,
Dodow,,,https://www.scribd.com/document/440820222/మనిషిగా-జీవించి-మరణాన-ని-జయించు-pdf,
Dozee,,,,
Eight Sleep,,,,
Elysium Health,,,https://elysium.nl/?v=1.0.24,https://elysium.nl/acties
E-pill,,,https://www.scribd.com/document/393802702/English-for-Everyday-Activities-A-Picture-Process-Dictionary,https://digitallibrary.un.org/record/3849735/files/ContraceptiveUseByMethodDataBooklet2019.pdf
Esleh Wheelchairs,,,,
Evox Therapeutics,,,,
Firefly Recovery,,,,
Foldawheel,,,https://www.google.co.uk/chrome/,https://www.google.co.uk/earth/about/versions/
Frido,,,https://www.youtube.com/watch?v=6L6HJLDd6Eo,https://balletwithisabella.com/posts/what-is-floor-barre-the-importance-of-floor-barre-in-ballet-training/
Godrej Interio (Healthcare),,,,
Hero Health,,,,
HVMN,,,,
Hyperice,,,,
Invacare,,,,
Kapiva,,,,
Kinetisense,,,,
KosmoCare,,,,
KT Tape,,,,
Levels,,,,
Lumen,,,,
MedaCube,,,,
Midmark India,,,https://pharmchoices.com/list-of-hospital-furniture-manufacturers-in-india/,https://dhcmediation.nic.in/uploads/cause/07042026mpdf-fb20ba15da4642346a8a863ec61a8a5e.pdf
Momentous,,,,
Muse,,,,
Nima,,,,
Nobi,,,https://en.wikipedia.org/wiki/1951_in_literature,https://www.scribd.com/document/815527232/M3M-The-Line
Nutrisense,,,,
Ostrich Mobility,,,,
Ottobock India,,,https://www.theofficialboard.com/org-chart/ottobock-india,
Oura Health,,,,
Paramount Bed India,,,https://help.paramountplus.com/s/my-account,https://help.paramountplus.com/s/topic/0TO0y000000ADFyGAO/account-billing
Pedag,,,,
Pee Safe,,,,
Pride Mobility,,,https://en.m.wikipedia.org/wiki/Pride_Month,https://en.m.wikipedia.org/wiki/Pride
Rehamo,,,https://www.pinterest.com/pin/eclectic-art-print-girly-trendy-apartment-wall-decor-etsy--59954238827084904/,https://dir.indiamart.com/impcat/transport-wheelchair.html
SandPuppy,,,,
Scholl,,,,
Sleep Company,,,https://www.sleepfoundation.org/how-sleep-works/why-do-we-need-sleep,https://www.sleepfoundation.org/how-sleep-works
Sunrise Medical,,,,
Talos Health Solutions,,,https://talosintelligence.com/,https://talosintelligence.com/reputation_center/
Therabody,,,,
Thorne Research,,,,
Ultrahuman,,,,
Upright,,,,
Vermeiren,,,https://www.vermeiren.com/,https://www.vermeirenprinceps.be/en
Wakefit,,,,
Whill,,,https://wayground.com/join,https://www.premierworld.com/
White Willow,,,https://thewhitewillow.in/pages/premium-sleep-bundles,https://www.volza.com/p/willow-cleft/import/import-in-india/
Whoop,,,https://www.comgateway.com/blogs/is-your-indian-fitness-routine-actually-whooping-enough-without-a-screen/,https://tracxn.com/d/legal-entities/india/whoopmasters-india-private-limited/__p5lgpooh-I8GM7a0rnGef4jlZVesN9hoZk1xpS90PCg
ACME,,,,
Agaro,,,https://agarolifestyle.com/,https://www.scribd.com/document/996943819/AGARO-GT-Catalogue-September-2025-Compressed-Not-for-Printing
BeatXP,,,https://gifts-to-india.com/p/trendy-neo-your-modern-fitness-partner,https://archive.e4mevents.com/idma-2023/winners
Dr. Ortho,,,https://www.justdial.com/jdmart/Chintalapudi/Dr-Ortho-Pain-Relief-Medicine/jdm-1296115-ent-4-34033010,https://www.youtube.com/shorts/QSDQeF2ed3o
Dynamic Techno Medicals,,,,
